"22.04 10:54:38,515|" loop_leser hat status: start. 
"22.04 10:54:38,515|" getmessage hat status: started. 
"22.04 10:54:39,342|" loop_leser hat status: Future: true [68,105,102,102,101,114,101,110,122,58,32,
              [123,["0",44,"0",44,"-1000"],125]]// Received MessageNummer: 0, Termi: true. 
"22.04 10:54:39,342|" loop_leser hat status: Wechsel zu Redakteur. 
"22.04 10:54:39,342|" loop_redakteur hat status: start. 
"22.04 10:54:39,342|" getmsgid hat status: started. 
"22.04 10:54:39,950|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:39,966|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:39,966|" handle_new_id hat status: 351te Nachricht erstellt. 
"22.04 10:54:39,966|" write_new_message hat status: started. 
"22.04 10:54:39,966|" drop_message hat status: started. 
"22.04 10:54:39,966|" loop_redakteur hat status: start. 
"22.04 10:54:39,966|" getmsgid hat status: started. 
"22.04 10:54:40,573|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:40,589|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:40,589|" handle_new_id hat status: 376te Nachricht erstellt. 
"22.04 10:54:40,589|" write_new_message hat status: started. 
"22.04 10:54:40,589|" drop_message hat status: started. 
"22.04 10:54:40,589|" loop_redakteur hat status: start. 
"22.04 10:54:40,589|" getmsgid hat status: started. 
"22.04 10:54:41,448|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:41,463|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:41,463|" handle_new_id hat status: 399te Nachricht erstellt. 
"22.04 10:54:41,463|" write_new_message hat status: started. 
"22.04 10:54:41,463|" drop_message hat status: started. 
"22.04 10:54:41,463|" loop_redakteur hat status: start. 
"22.04 10:54:41,463|" getmsgid hat status: started. 
"22.04 10:54:42,133|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:42,149|" loop_redakteur hat status: Redakteur wacht wieder auf. 
"22.04 10:54:42,149|" handle_new_id hat status: 419te Nachricht erstellt. 
"22.04 10:54:42,149|" write_new_message hat status: started. 
"22.04 10:54:42,149|" drop_message hat status: started. 
"22.04 10:54:42,149|" loop_redakteur hat status: start. 
"22.04 10:54:42,149|" getmsgid hat status: started. 
"22.04 10:54:43,179|" loop_redakteur hat status: Redakteur hat neue ID erhalten und schlaeft ein. 
"22.04 10:54:43,195|" loop_redakteur hat status: Redakteur wacht wieder auf. 
